Do_Number,So_Number,Invoice_Number,Weight,CBM,Location_Code
300270,300270,300270,43.75,0.021528,SHTP-0797
300271,300271,300271,26.5,0.009653,SHTP-0797
300272,300272,300272,13.25,0.009653,SHTP-0797
300273,300273,300273,15.4,0.006503,SHTP-0797
300274,300274,300274,15.4,0.006503,SHTP-0797
300275,300275,300275,15.15,0.013006,SHTP-0797
300276,300276,300276,15.15,0.013006,SHTP-0797
300277,300277,300277,7.95,0.01134,SHTP-0797
300278,300278,300278,13.25,0.009653,SHTP-0797
300279,300279,300279,13.25,0.009653,SHTP-0797
300280,300280,300280,26.5,0.009653,SHTP-0797
300281,300281,300281,13.25,0.009653,SHTP-0797
300282,300282,300282,15.4,0.006503,SHTP-0797
300283,300283,300283,15.4,0.006503,SHTP-0797
300284,300284,300284,13.85,0.016538,SHTP-0797
300285,300285,300285,43.95,0.025639,SHTP-0797
300286,300286,300286,13.85,0.016538,SHTP-0242
300287,300287,300287,8.31,0.016538,SHTP-0242
300288,300288,300288,58.6,0.025639,SHTP-0242
300289,300289,300289,85.87,0.016538,SHTP-0052
300290,300290,300290,5.3,0.01134,SHTP-0046
300291,300291,300291,5.05,0.013006,SHTP-0046
300292,300292,300292,5.3,0.009653,SHTP-0046
300293,300293,300293,7.95,0.009653,SHTP-0046
300294,300294,300294,7.95,0.009653,SHTP-0046
300295,300295,300295,31.25,0.021528,SHTP-0046
300296,300296,300296,2.65,0.009653,SHTP-0046
300297,300297,300297,2.65,0.009653,SHTP-0046
300298,300298,300298,31.25,0.021528,SHTP-0046
300299,300299,300299,132.96,0.016538,SHTP-0064
300300,300300,300300,38.55,0.022134,SHTP-0064
300301,300301,300301,55.4,0.016538,SHTP-0064
300302,300302,300302,54.34,0.010583,SHTP-0064
300303,300303,300303,51.46,0.007812,SHTP-0064
300304,300304,300304,41.55,0.016538,SHTP-0064
300366,300366,300366,15.9,0.009653,SHTP-0657
300367,300367,300367,15.9,0.009653,SHTP-0657
300368,300368,300368,7.7,0.006503,SHTP-0657
300369,300369,300369,13.25,0.009653,SHTP-0064
300370,300370,300370,13.25,0.009653,SHTP-0064
300371,300371,300371,26.5,0.009653,SHTP-0064
300372,300372,300372,26.5,0.009653,SHTP-0064
300373,300373,300373,26.5,0.009653,SHTP-0064
300374,300374,300374,26.5,0.009653,SHTP-0064
300375,300375,300375,10.1,0.013006,SHTP-0064
300376,300376,300376,10.1,0.013006,SHTP-0064
300377,300377,300377,10.1,0.013006,SHTP-0064
300378,300378,300378,10.1,0.013006,SHTP-0064
300379,300379,300379,10.6,0.01134,SHTP-0064
300380,300380,300380,51.46,0.007812,SHTP-0110
300381,300381,300381,5.3,0.009653,SHTP-0163
300382,300382,300382,13.25,0.009653,SHTP-0163
300383,300383,300383,55.4,0.016538,SHTP-0163
300384,300384,300384,27.7,0.016538,SHTP-0163
300385,300385,300385,41.55,0.016538,SHTP-0163
300386,300386,300386,146.5,0.025639,SHTP-0163
300387,300387,300387,2.65,0.01134,SHTP-0163
300388,300388,300388,10.1,0.013006,SHTP-0163
300389,300389,300389,10.1,0.013006,SHTP-0163
300390,300390,300390,18.55,0.009653,SHTP-0163
300391,300391,300391,10.1,0.013006,SHTP-0163
300392,300392,300392,10.6,0.009653,SHTP-0163
300393,300393,300393,13.25,0.009653,SHTP-0163
300394,300394,300394,26.5,0.01134,SHTP-0566
300395,300395,300395,104.1204861,0.016796,SHTP-0644
300396,300396,300396,7.95,0.01134,SHTP-0052
300397,300397,300397,8.18,0.016095,SHTP-0052
300398,300398,300398,5.3,0.005429,SHTP-0052
300399,300399,300399,10.6,0.009653,SHTP-0046
300400,300400,300400,5.05,0.013006,SHTP-0046
300401,300401,300401,5.3,0.005429,SHTP-0052
300402,300402,300402,55.4,0.016538,SHTP-0052
300403,300403,300403,41.55,0.016538,SHTP-0840
300404,300404,300404,5.434,0.010583,SHTP-0840
300405,300405,300405,8.31,0.016538,SHTP-0840
300406,300406,300406,22.16,0.016538,SHTP-0840
300407,300407,300407,2.65,0.009653,SHTP-0840
300408,300408,300408,2.65,0.005429,SHTP-0840
300409,300409,300409,4.09,0.016095,SHTP-0840
300410,300410,300410,2.65,0.009653,SHTP-0840
300411,300411,300411,2.65,0.009653,SHTP-0840
300412,300412,300412,2.65,0.009653,SHTP-0840
300413,300413,300413,2.65,0.009653,SHTP-0840
300414,300414,300414,4.09,0.016095,SHTP-0840
300415,300415,300415,4.09,0.016095,SHTP-0840
300416,300416,300416,56.25,0.021528,SHTP-0840
300417,300417,300417,56.25,0.021528,SHTP-0840
